,Product Name,RAM,Display,Camera,Battery,Warranty,Price,Rating
408,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Quad HD+ Display,13MP Rear Camera,4000 mAh Li-ion Battery,1 Year Manufacturer Warranty,"₹9,737",4.2
409,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹17,499",5
410,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.97 cm (5.5 inch) Full HD Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹18,499",5
411,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,2MP Rear Camera,3800 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹18,634",4.3
412,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,Super AMOLED Display,5MP Rear Camera | 2MP Front Camera,3500 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹9,497",4
413,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,2MP Rear Camera,4500 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹15,999",5
414,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,16MP + 5MP | 16MP Front Camera,1500 mAh Li-Ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹23,999",4.2
415,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,12MP + 12MP | 8MP Front Camera,1860 mAh Battery,1 Year for Mobile & 6 Months Accessories Warranty,"₹23,999",5
416,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,2MP Rear Camera,5000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹23,999",5
417,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,13MP Rear Camera | 8MP Front Camera,3300 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹19,999",4.2
418,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,48MP + 8MP | 16MP Front Camera,4000 mAh Lithium-ion Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",4
419,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,11.43 cm (4.5 inch) WVGA Display,24MP + 5MP + 10MP + 8MP | 24MP Front Camera,4500 mAh Lithium-ion Battery,1 Year Manufacturer Warranty,"₹12,499",5
420,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,6.1 cm (2.4 inch) QVGA Display,2MP Rear Camera,5000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹14,999",4.2
421,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,13.31 cm (5.24 inch) HD Display,64MP + 5MP + 8MP | 32MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty,"₹17,999",4.2
422,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹11,499",4.2
423,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery,1 Year Manufacturer Warranty,"₹12,999",4.2
424,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,Super AMOLED Display,13MP Rear Camera | 2MP Front Camera,5000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹12,499",4.2
425,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,64MP + 5MP + 8MP | 32MP Front Camera,1860 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"₹17,999",4.3
426,"SAMSUNG Galaxy A71 (Prism Crush Black, 128 GB)",4 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Quad HD+ Display,64MP + 5MP + 2MP | 8MP Front Camera,3000 mAh Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹11,499",4.2
